t com min rx ry rz
0.02 4.996076 4.112192 45 9.84819E-06 5.92749E-06
0.04 4.988228 4.104344 45 9.84819E-06 5.92749E-06
0.06 4.976456 4.092572 45 9.84819E-06 5.92749E-06
0.08 4.96076 4.076876 45 9.84819E-06 5.92749E-06
0.09999999 4.94114 4.057256 45 9.84819E-06 5.92749E-06
0.12 4.917596 4.033712 45 9.84819E-06 5.92749E-06
0.14 4.890128 4.006244 45 9.84819E-06 5.92749E-06
0.16 4.858736 3.974852 45 9.84819E-06 5.92749E-06
0.18 4.82342 3.939536 45 9.84819E-06 5.92749E-06
0.2 4.78418 3.900296 45 9.84819E-06 5.92749E-06
0.22 4.741016 3.857132 45 9.84819E-06 5.92749E-06
0.24 4.693928 3.810044 45 9.84819E-06 5.92749E-06
0.26 4.642916 3.759032 45 9.84819E-06 5.92749E-06
0.28 4.58798 3.704096 45 9.84819E-06 5.92749E-06
0.3 4.52912 3.645236 45 9.84819E-06 5.92749E-06
0.32 4.466336 3.582452 45 9.84819E-06 5.92749E-06
0.34 4.399628 3.515744 45 9.84819E-06 5.92749E-06
0.36 4.328996 3.445112 45 9.84819E-06 5.92749E-06
0.38 4.25444 3.370556 45 9.84819E-06 5.92749E-06
0.4 4.175961 3.292077 45 9.84819E-06 5.92749E-06
0.42 4.093556 3.209672 45 9.84819E-06 5.92749E-06
0.44 4.007228 3.123344 45 9.84819E-06 5.92749E-06
0.46 3.916976 3.033092 45 9.84819E-06 5.92749E-06
0.48 3.8228 2.938917 45 9.84819E-06 5.92749E-06
0.5 3.7247 2.840816 45 9.84819E-06 5.92749E-06
0.52 3.622676 2.738792 45 9.84819E-06 5.92749E-06
0.54 3.516728 2.632844 45 9.84819E-06 5.92749E-06
0.56 3.406857 2.522973 45 9.84819E-06 5.92749E-06
0.58 3.293061 2.409177 45 9.84819E-06 5.92749E-06
0.6 3.175341 2.291457 45 9.84819E-06 5.92749E-06
0.62 3.053697 2.169813 45 9.84819E-06 5.92749E-06
0.64 2.928129 2.044245 45 9.84819E-06 5.92749E-06
0.66 2.798637 1.914753 45 9.84819E-06 5.92749E-06
0.68 2.665221 1.781337 45 9.84819E-06 5.92749E-06
0.7 2.527881 1.643997 45 9.84819E-06 5.92749E-06
0.72 2.386617 1.502733 45 9.84819E-06 5.92749E-06
0.74 2.241429 1.357545 45 9.84819E-06 5.92749E-06
0.76 2.092317 1.208433 45 9.84819E-06 5.92749E-06
0.78 1.939281 1.055397 45 9.84819E-06 5.92749E-06
0.8 1.782321 0.8984373 45 9.84819E-06 5.92749E-06
0.82 1.621437 0.7375534 45 9.84819E-06 5.92749E-06
0.84 1.456629 0.5727453 45 9.84819E-06 5.92749E-06
0.86 1.287897 0.4040134 45 9.84819E-06 5.92749E-06
0.88 1.115241 0.2313576 45 9.84819E-06 5.92749E-06
0.9 0.9386615 0.05477762 45 9.84819E-06 5.92749E-06
0.92 0.7581575 -0.1257263 45 9.84819E-06 5.92749E-06
0.94 0.5737295 -0.3101543 45 9.84819E-06 5.92749E-06
0.96 0.4728066 -0.4084935 45.27798 9.892719E-06 5.975942E-06
0.98 0.3962659 -0.4793919 45.87756 1.094679E-05 8.341183E-06
1 0.3333987 -0.5335919 46.77935 1.979721E-06 4.577129E-06
1.02 0.2794394 -0.5761647 47.93159 2.070366E-06 4.657599E-06
1.04 0.2317965 -0.6100811 49.27634 6.940232E-06 6.940232E-06
1.06 0.1889612 -0.6372262 50.76083 -3.720722E-06 1.247925E-07
1.08 0.1500061 -0.6588418 52.34357 1.232781E-06 2.508461E-06
1.1 0.1143331 -0.6757634 53.99509 1.3186E-06 2.588172E-06
1.12 0.08154161 -0.6885582 55.69591 6.773128E-06 5.509512E-06
1.14 0.05135437 -0.6976148 57.43358 0 0
1.16 0.02357295 -0.7032064 59.20033 5.799183E-06 3.294417E-06
1.18 -0.001949668 -0.70553 60.99123 7.854956E-06 6.60779E-06
1.2 -0.02532655 -0.7047369 62.80309 1.275531E-05 7.786346E-06
1.22 -0.04664797 -0.7009501 64.63363 0 0
1.24 -0.06598864 -0.6942712 66.48119 0 0
1.26 -0.08341229 -0.6847938 68.34439 0 0
1.28 -0.09896957 -0.6726108 70.22127 5.804608E-06 8.255867E-06
1.3 -0.112631 -0.6579059 72.09873 -1.796578E-05 -1.307657E-05
1.32 -0.1242905 -0.6409113 73.95714 1.858317E-05 2.467991E-05
1.34 -0.133793 -0.6218336 75.77657 -3.71761E-05 -3.10922E-05
1.36 -0.140957 -0.6008198 77.54046 7.667173E-05 7.910092E-05
1.38 -0.1455911 -0.5779445 79.23678 -0.0001369938 -0.0001333555
1.4 -0.147505 -0.5532067 80.85836 0.0002518099 0.0002481761
1.42 -0.1465146 -0.5265374 82.40229 -0.0003195254 -0.0003183153
1.44 -0.1424585 -0.4978499 83.8679 0.0005097258 0.0005060984
1.46 -0.1352911 -0.4672091 85.25191 -0.0005993505 -0.0005957252
1.48 -0.1251096 -0.4348488 86.54918 0.0008433179 0.000840902
1.5 -0.1121502 -0.4011652 87.75311 -0.0007993333 -0.0008017486
1.52 -0.09676928 -0.3666916 88.85585 0.001328747 0.001331162
1.54 -0.07941567 -0.3320608 89.85065 -0.00228091 -0.002282117
1.56 -0.06059543 -0.3231928 89.27774 179.9992 179.9992
1.58 -0.04083643 -0.3164372 88.52859 179.9999 179.9999
1.6 -0.02065676 -0.3069381 87.91128 179.9998 179.9998
1.62 -0.0005402826 -0.2951325 87.42983 179.9999 179.9999
1.64 0.01907913 -0.2814437 87.08564 179.9998 179.9998
1.66 0.03782544 -0.2662716 86.8777 179.9998 179.9998
1.68 0.05538163 -0.2499876 86.80365 179.9998 179.9998
1.7 0.07148644 -0.2329301 86.85926 179.9998 179.9998
1.72 0.08592852 -0.2154182 87.03766 179.9999 179.9999
1.74 0.0985397 -0.1978506 87.3254 179.9998 179.9998
1.76 0.1091886 -0.1806986 87.70262 179.9998 179.9998
1.78 0.1177756 -0.1644638 88.14501 179.9998 179.9998
1.8 0.1242284 -0.1496342 88.62898 179.9996 179.9996
1.82 0.128499 -0.1366511 89.13069 179.9995 179.9995
1.84 0.1305615 -0.1258909 89.63043 179.9991 179.9991
1.86 0.1304096 -0.1215228 89.89347 4.825013E-06 0
1.88 0.128056 -0.1316757 89.44187 0.0009913562 0.0009913562
1.9 0.1235588 -0.1431788 89.03917 0.0004307072 0.0004331222
1.92 0.1170405 -0.1557463 88.69074 0.0003680192 0.0003716417
1.94 0.1086822 -0.1690644 88.40469 0.0001282707 0.0001318933
1.96 0.09871474 -0.1827926 88.18728 0.0002653494 0.0002689721
1.98 0.08740861 -0.1965737 88.04425 0.0001762676 0.0001774752
2 0.07506161 -0.2100465 87.97929 0.0001729843 0.0001693615
2.02 0.06198713 -0.2228599 87.99435 0.0002081626 0.0002057474
2.04 0.0485028 -0.2346878 88.09022 0.0003278087 0.000324186
2.06 0.03492048 -0.24528 88.26281 0.0003210097 0.0003161794
2.08 0.02153804 -0.2544871 88.5038 0.0004660168 0.0004587717
2.1 0.008632666 -0.2622536 88.80025 0.0005801787 0.0005729338
2.12 -0.003543893 -0.2686004 89.13588 0.0008858708 0.0008750038
2.14 -0.01476863 -0.2736019 89.49371 0.001643303 0.001633643
2.16 -0.0248491 -0.2773615 89.85598 0.005767715 0.005762885
2.18 -0.03362395 -0.2872514 89.79253 179.9964 179.9963
2.2 -0.04096241 -0.3002947 89.46478 179.9987 179.9987
2.22 -0.04676293 -0.3111668 89.17315 179.9992 179.9992
2.24 -0.05095141 -0.3196389 88.9268 179.9993 179.9993
2.26 -0.05347919 -0.3255458 88.7322 179.9993 179.9993
2.28 -0.05432127 -0.3287807 88.59417 179.9994 179.9994
2.3 -0.05347486 -0.3292883 88.51629 179.9994 179.9994
2.32 -0.05096219 -0.3270651 88.4995 179.9995 179.9995
2.34 -0.04685103 -0.3221775 88.54438 179.9995 179.9995
2.36 -0.04125565 -0.3147725 88.64867 179.9993 179.9993
2.38 -0.03433205 -0.3050932 88.80745 179.9993 179.9993
2.4 -0.02627128 -0.2934694 89.01265 179.9992 179.9992
2.42 -0.01729138 -0.2802984 89.25402 179.9989 179.9989
2.44 -0.007628401 -0.266023 89.51949 179.9986 179.9986
2.46 0.002472717 -0.2511069 89.79729 179.9963 179.9963
2.48 0.01276687 -0.238454 89.93439 9.653456E-06 0
2.5 0.02301653 -0.2327809 89.6678 0.001664967 0.001664967
2.52 0.03299808 -0.2269729 89.42802 0.001090282 0.00108666
2.54 0.04250649 -0.2210897 89.22016 0.00106627 0.00106144
2.56 0.05135847 -0.2151995 89.04942 0.0008034606 0.0007974233
