t com min rx ry rz
0 5.295913 3.03125 0 0 0
0.02 5.291989 3.027326 0 0 0
0.04 5.284142 3.019478 0 0 0
0.06 5.272369 3.007706 0 0 0
0.08 5.256673 2.99201 0 0 0
0.09999999 5.237053 2.97239 0 0 0
0.12 5.21351 2.948846 0 0 0
0.14 5.186041 2.921378 0 0 0
0.16 5.154649 2.889986 0 0 0
0.18 5.119333 2.85467 0 0 0
0.2 5.080093 2.81543 0 0 0
0.22 5.03693 2.772266 0 0 0
0.24 4.989841 2.725178 0 0 0
0.26 4.938829 2.674166 0 0 0
0.28 4.883893 2.61923 0 0 0
0.3 4.825034 2.56037 0 0 0
0.32 4.762249 2.497586 0 0 0
0.34 4.695541 2.430878 0 0 0
0.36 4.624909 2.360246 0 0 0
0.38 4.550354 2.28569 0 0 0
0.4 4.471874 2.207211 0 0 0
0.42 4.38947 2.124806 0 0 0
0.44 4.303142 2.038478 0 0 0
0.46 4.21289 1.948226 0 0 0
0.48 4.118714 1.854051 0 0 0
0.5 4.020614 1.75595 0 0 0
0.52 3.91859 1.653926 0 0 0
0.54 3.812642 1.547978 0 0 0
0.56 3.70277 1.438107 0 0 0
0.58 3.588974 1.324311 0 0 0
0.6 3.471254 1.206591 0 0 0
0.62 3.34961 1.084947 0 0 0
0.64 3.224042 0.9593787 0 0 0
0.66 3.09455 0.8298869 0 0 0
0.68 2.961134 0.6964707 0 0 0
0.7 2.823794 0.5591307 0 0 0
0.72 2.68253 0.4178667 0 0 0
0.74 2.537342 0.2726789 0 0 0
0.76 2.38823 0.1235671 0 0 0
0.78 2.235194 -0.02946901 0 0 0
0.8 2.078234 -0.186429 0 0 0
0.82 1.943328 -0.3201478 359.9382 1.415032E-07 -1.301529E-06
0.84 1.825028 -0.435185 359.7692 5.352246E-07 -4.863648E-06
0.86 1.720097 -0.5338604 359.4479 1.308396E-06 -1.162686E-05
0.88 1.626428 -0.6173575 358.9331 2.614601E-06 -2.244615E-05
0.9 1.54254 -0.6862135 358.1886 4.664918E-06 -3.821146E-05
