t com min rx ry rz
0 4.76 3.227618 27.57612 350.8468 347.8777
0.02 4.756076 3.223694 27.57612 350.8468 347.8777
0.04 4.748229 3.215846 27.57612 350.8468 347.8777
0.06 4.736456 3.204074 27.57612 350.8468 347.8777
0.08 4.72076 3.188378 27.57612 350.8468 347.8777
0.09999999 4.70114 3.168758 27.57612 350.8468 347.8777
0.12 4.677597 3.145214 27.57612 350.8468 347.8777
0.14 4.650128 3.117746 27.57612 350.8468 347.8777
0.16 4.618736 3.086354 27.57612 350.8468 347.8777
0.18 4.58342 3.051038 27.57612 350.8468 347.8777
0.2 4.54418 3.011798 27.57612 350.8468 347.8777
0.22 4.501017 2.968635 27.57612 350.8468 347.8777
0.24 4.453928 2.921546 27.57612 350.8468 347.8777
0.26 4.402916 2.870534 27.57612 350.8468 347.8777
0.28 4.34798 2.815598 27.57612 350.8468 347.8777
0.3 4.289121 2.756739 27.57612 350.8468 347.8777
0.32 4.226336 2.693954 27.57612 350.8468 347.8777
0.34 4.159628 2.627246 27.57612 350.8468 347.8777
0.36 4.088996 2.556614 27.57612 350.8468 347.8777
0.38 4.014441 2.482059 27.57612 350.8468 347.8777
0.4 3.935961 2.403578 27.57612 350.8468 347.8777
0.42 3.853557 2.321175 27.57612 350.8468 347.8777
0.44 3.767229 2.234846 27.57612 350.8468 347.8777
0.46 3.676977 2.144594 27.57612 350.8468 347.8777
0.48 3.582801 2.050418 27.57612 350.8468 347.8777
0.5 3.484701 1.952318 27.57612 350.8468 347.8777
0.52 3.382677 1.850294 27.57612 350.8468 347.8777
0.54 3.276729 1.744346 27.57612 350.8468 347.8777
0.56 3.166857 1.634475 27.57612 350.8468 347.8777
0.58 3.053061 1.520679 27.57612 350.8468 347.8777
0.6 2.935341 1.402959 27.57612 350.8468 347.8777
0.62 2.813697 1.281315 27.57612 350.8468 347.8777
0.64 2.688129 1.155747 27.57612 350.8468 347.8777
0.66 2.558637 1.026255 27.57612 350.8468 347.8777
0.68 2.425221 0.8928387 27.57612 350.8468 347.8777
0.7 2.287881 0.7554986 27.57612 350.8468 347.8777
0.72 2.146617 0.6142347 27.57612 350.8468 347.8777
0.74 2.001429 0.4690468 27.57612 350.8468 347.8777
0.76 1.852317 0.3199348 27.57612 350.8468 347.8777
0.78 1.699281 0.166899 27.57612 350.8468 347.8777
0.8 1.542321 0.009939194 27.57612 350.8468 347.8777
0.82 1.381437 -0.1509447 27.57612 350.8468 347.8777
0.84 1.21663 -0.3157527 27.57612 350.8468 347.8777
0.86 1.048586 -0.4834008 27.59496 350.8688 347.8942
0.88 0.8785878 -0.6510148 27.75823 350.9588 347.935
0.9 0.7078925 -0.8170652 28.12209 351.0368 347.9565
0.92 0.5366548 -0.9834216 28.53255 351.0736 347.9383
0.94 0.3665285 -1.14773 29.10108 350.9629 347.807
0.96 0.1975985 -1.308634 29.84015 350.8662 347.6569
0.98 0.03118749 -1.463957 30.8615 350.596 347.4013
1 -0.1323848 -1.613789 32.04156 350.4147 347.1311
1.02 -0.2906213 -1.750376 33.65406 350.462 346.9469
1.04 -0.4448127 -1.881109 35.36473 350.3824 346.6553
1.06 -0.5938159 -1.999553 37.40464 350.4006 346.3922
1.08 -0.733029 -2.093159 40.19786 350.4294 346.1103
1.1 -0.8643422 -2.169867 43.34082 350.2456 345.6831
1.12 -0.9858902 -2.222862 46.83603 350.5378 345.5984
1.14 -1.096075 -2.252011 50.62672 351.0812 345.7193
1.16 -1.19975 -2.272718 54.35054 351.3133 345.601
1.18 -1.299002 -2.290712 57.86135 351.2749 345.2622
1.2 -1.400075 -2.325167 60.8964 349.5806 343.4924
1.22 -1.48753 -2.350148 63.97017 344.5477 338.6804
1.24 -1.569313 -2.37245 66.66666 336.8891 331.3199
1.26 -1.64098 -2.381913 68.90287 328.0739 322.719
