t com min rx ry rz
0 4.76 3.227618 27.57612 350.8468 347.8777
0.02 4.756076 3.223694 27.57612 350.8468 347.8777
0.04 4.748229 3.215846 27.57612 350.8468 347.8777
0.06 4.736456 3.204074 27.57612 350.8468 347.8777
0.08 4.72076 3.188378 27.57612 350.8468 347.8777
0.09999999 4.70114 3.168758 27.57612 350.8468 347.8777
0.12 4.677597 3.145214 27.57612 350.8468 347.8777
0.14 4.650128 3.117746 27.57612 350.8468 347.8777
0.16 4.618736 3.086354 27.57612 350.8468 347.8777
0.18 4.58342 3.051038 27.57612 350.8468 347.8777
0.2 4.54418 3.011798 27.57612 350.8468 347.8777
0.22 4.501017 2.968635 27.57612 350.8468 347.8777
0.24 4.453928 2.921546 27.57612 350.8468 347.8777
0.26 4.402916 2.870534 27.57612 350.8468 347.8777
0.28 4.34798 2.815598 27.57612 350.8468 347.8777
0.3 4.289121 2.756739 27.57612 350.8468 347.8777
0.32 4.226336 2.693954 27.57612 350.8468 347.8777
0.34 4.159628 2.627246 27.57612 350.8468 347.8777
0.36 4.088996 2.556614 27.57612 350.8468 347.8777
0.38 4.014441 2.482059 27.57612 350.8468 347.8777
0.4 3.935961 2.403578 27.57612 350.8468 347.8777
0.42 3.853557 2.321175 27.57612 350.8468 347.8777
0.44 3.767229 2.234846 27.57612 350.8468 347.8777
0.46 3.676977 2.144594 27.57612 350.8468 347.8777
0.48 3.582801 2.050418 27.57612 350.8468 347.8777
0.5 3.484701 1.952318 27.57612 350.8468 347.8777
0.52 3.382677 1.850294 27.57612 350.8468 347.8777
0.54 3.276729 1.744346 27.57612 350.8468 347.8777
0.56 3.166857 1.634475 27.57612 350.8468 347.8777
0.58 3.053061 1.520679 27.57612 350.8468 347.8777
0.6 2.935341 1.402959 27.57612 350.8468 347.8777
0.62 2.813697 1.281315 27.57612 350.8468 347.8777
0.64 2.688129 1.155747 27.57612 350.8468 347.8777
0.66 2.558637 1.026255 27.57612 350.8468 347.8777
0.68 2.425221 0.8928387 27.57612 350.8468 347.8777
0.7 2.287881 0.7554986 27.57612 350.8468 347.8777
0.72 2.146617 0.6142347 27.57612 350.8468 347.8777
0.74 2.001429 0.4690468 27.57612 350.8468 347.8777
0.76 1.852317 0.3199348 27.57612 350.8468 347.8777
0.78 1.699281 0.166899 27.57612 350.8468 347.8777
0.8 1.542321 0.009939194 27.57612 350.8468 347.8777
0.82 1.381437 -0.1509447 27.57612 350.8468 347.8777
0.84 1.21663 -0.3157527 27.57612 350.8468 347.8777
0.86 1.050722 -0.4805381 27.64716 350.8801 347.9039
0.88 0.8856381 -0.6428492 27.85015 350.9421 347.9353
0.9 0.7233131 -0.7995074 28.28087 351.0489 347.9747
0.92 0.5650576 -0.950151 28.90611 351.0891 347.957
0.94 0.4125152 -1.090969 29.87173 351.1207 347.8908
0.96 0.2669874 -1.221102 31.15054 351.0319 347.7206
0.98 0.1283266 -1.337978 32.61966 351.5687 347.8475
1 -0.003441483 -1.446041 34.16555 352.0541 347.9578
1.02 -0.1271495 -1.541356 35.9599 352.502 348.0441
1.04 -0.2440681 -1.63126 37.63734 352.8312 348.0432
1.06 -0.3544233 -1.718129 39.11748 352.9596 347.8938
1.08 -0.4572713 -1.798451 40.51744 353.0203 347.6854
1.1 -0.5490856 -1.86802 42.04525 352.4486 347.0562
1.12 -0.6295976 -1.915908 43.87567 352.5201 346.8385
1.14 -0.6975775 -1.943581 46.03962 352.5342 346.5661
1.16 -0.7535941 -1.947374 48.52575 353.1524 346.7392
1.18 -0.7952548 -1.926226 51.30339 354.108 347.2109
1.2 -0.8287932 -1.894143 54.02113 355.3583 347.955
1.22 -0.8570285 -1.869252 56.15157 356.4566 348.5905
1.24 -0.8767214 -1.845077 57.80072 357.7062 349.3915
1.26 -0.8931599 -1.835696 58.91244 357.873 349.3039
