t n fps
0 1 0
0.02 1 50
0.0440326 1 41
0.0575452 1 54
0.0605404 1 83
0.0646155 1 107
0.0689513 1 127
0.071998 1 153
0.074646 1 180
0.0776671 1 202
0.0805733 1 223
0.0840259 1 235
0.0868235 1 254
0.0894711 1 273
0.0923872 1 286
0.0950562 1 301
0.0979793 1 308
0.1007218 1 318
0.1045281 2 305
0.1073778 2 313
0.1102835 2 319
0.1146077 2 296
0.1194108 2 273
0.123036 2 273
0.1281942 2 252
0.1322764 2 251
0.1361863 2 252
0.1399611 2 254
0.1474132 2 215
0.1531537 2 205
0.1574219 2 211
0.1618313 2 214
0.1680562 2 200
0.1732016 2 199
0.1772577 2 207
0.1810113 2 216
0.1858911 2 214
0.1888118 2 231
0.1919126 2 245
0.1958286 2 247
0.1987352 2 262
0.2027501 2 259
0.2068264 3 256
0.2098725 3 268
0.2174688 3 222
0.2208596 3 233
0.2253537 3 231
0.2283034 3 247
0.2312774 3 260
0.2365231 3 242
0.2398159 3 253
0.2432696 3 259
0.2468456 3 263
0.2499113 3 273
0.252804 3 285
0.2557647 3 294
0.2586566 3 303
0.2618694 3 305
0.26531 3 302
0.2683402 3 307
0.2711542 3 315
0.2740344 3 321
0.2769983 3 324
0.2797672 3 331
0.2825781 3 336
0.2861155 3 323
0.2895413 3 316
0.2930472 3 310
0.2962133 3 311
0.2998014 3 304
0.3030906 3 304
0.3067004 4 298
0.3098409 4 302
0.3132632 4 300
0.317962 4 277
0.3222569 4 267
0.3254284 4 275
0.3285605 4 283
0.3316763 4 290
0.3344538 4 301
0.3373017 4 310
0.3400997 4 318
0.3434672 4 314
0.3464508 4 318
0.3492063 4 326
0.3519847 4 332
0.3546282 4 340
0.3573924 4 344
0.3601697 4 347
0.3639061 4 328
0.3665751 4 336
0.3695 4 337
0.3726 4 334
0.3762713 4 319
0.3795526 4 316
0.3823949 4 323
0.3859102 4 314
0.389017 4 316
0.3918554 4 322
0.394723 4 327
0.3977562 4 327
0.4005795 4 332
0.4039039 4 325
0.4070043 5 325
0.4098247 5 330
0.4127069 5 333
0.4173363 5 301
0.4200977 5 311
0.4235297 5 307
0.4264523 5 313
0.4294147 5 318
0.4322411 5 324
0.4349736 5 332
0.4377871 5 336
0.4407129 5 337
0.4443459 5 322
0.447288 5 326
0.4502325 5 328
0.4529712 5 335
0.4562104 5 329
0.459349 5 327
0.4625848 5 323
0.4661377 5 314
0.4709354 5 285
0.4751753 5 273
0.4777808 5 290
0.4805082 5 303
0.4835683 5 307
0.4865135 5 313
0.4893977 5 319
0.4920266 5 330
0.4950717 5 329
0.4980893 5 330
0.5011591 5 329
0.5043806 5 325
0.5076917 6 320
0.5138668 6 267
0.5170358 6 276
0.5205902 6 277
0.5240984 6 278
0.5270267 6 289
0.5299228 6 299
0.5330035 6 303
0.5359694 6 309
0.5388792 6 316
0.5419381 6 318
0.5452218 6 315
0.5484221 6 314
0.5515873 6 315
0.5550064 6 310
0.5584391 6 306
0.5617307 6 305
0.5657484 6 292
0.5685854 6 302
0.5712933 6 314
0.5743009 6 317
0.5770961 6 324
0.5801413 6 325
0.5838774 6 312
0.5866835 6 320
0.5898688 6 318
0.5929598 6 319
0.5961362 6 318
0.5991615 6 321
0.6027114 6 312
0.6060649 6 309
0.6097428 7 301
0.6128216 7 305
0.6186421 7 264
0.6234828 7 250
0.6286964 7 235
0.6320366 7 246
0.6347656 7 263
0.6374972 7 279
0.6410384 7 279
0.6440408 7 289
0.6471753 7 294
0.6498615 7 307
0.6525506 7 318
0.6552819 7 327
0.6580152 7 334
0.6609573 7 335
0.6642878 7 327
0.6668827 7 337
0.6696733 7 341
0.672441 7 345
0.6751109 7 350
0.6780315 7 349
0.6807863 7 351
0.6840541 7 341
0.6867326 7 347
0.6902583 7 332
0.6931801 7 334
0.6963126 7 331
0.6992838 7 332
0.7019474 7 340
0.7052207 7 332
0.7085593 7 325
0.7115771 8 326
0.714316 8 333
0.7170536 8 339
0.7201112 8 336
0.7237119 8 323
0.7266312 8 326
0.7294712 8 331
0.7323709 8 334
0.7353508 8 334
0.7383685 8 333
0.7411252 8 339
0.7444068 8 331
0.747363 8 333
0.7508382 8 322
0.7537879 8 325
0.7568568 8 325
0.7597435 8 329
0.7627463 8 330
0.7661802 8 321
0.7693077 8 321
0.774002 8 291
0.7784095 8 275
0.7817893 8 279
0.7921858 8 202
0.7949764 8 221
0.797857 8 239
0.8006604 8 255
0.8041084 8 262
0.8070024 8 275
0.8101749 8 282
0.813021 9 294
0.8180365 9 268
0.8218059 9 267
0.8253269 9 270
0.8282225 9 283
0.8309963 9 295
0.8339966 9 302
0.8369284 9 309
0.8400072 9 312
0.8435848 9 305
0.8465519 9 311
0.8491894 9 322
0.8521037 9 326
0.8550061 9 330
0.8577771 9 335
0.8611507 9 327
0.865003 9 310
0.86795 9 316
0.8710208 9 318
0.8738124 9 325
0.8769427 9 324
0.8802786 9 318
0.8833542 9 320
0.8859848 9 330
0.8887189 9 337
0.8913986 9 343
0.8944264 9 340
0.8972877 9 342
0.9001298 9 344
0.9036865 9 329
0.9066468 9 331
0.9093998 9 337
0.9120596 9 344
0.9149189 10 345
0.9175574 10 351
0.9205511 10 347
0.9256034 10 302
0.929819 10 286
0.9324049 10 302
0.9350766 10 314
0.9378638 10 322
0.9412102 10 317
0.9447538 10 309
0.9482924 10 303
0.9516516 10 302
0.9544739 10 311
0.95735 10 318
0.9601913 10 324
0.9634331 10 321
0.9666469 10 319
0.9696128 10 322
0.9727362 10 322
0.9755695 10 327
0.9782264 10 336
0.9810218 10 340
0.9842806 10 333
0.9873239 10 332
0.9901928 10 335
0.9930117 10 339
0.9958183 10 342
0.9987707 10 341
1.001528 10 345
1.004872 10 335
1.007757 10 337
1.010499 10 342
1.013389 10 343
1.0185 11 298
1.021613 11 302
1.025283 11 296
1.028235 11 303
1.031199 11 309
1.034309 11 312
1.037191 11 318
1.039865 11 328
1.042682 11 333
1.045763 11 331
1.048687 11 333
1.051678 11 333
1.054476 11 338
1.0575 11 336
1.061247 11 319
1.064968 11 308
1.067923 11 313
1.070858 11 318
1.075533 11 290
1.080281 11 269
1.083586 11 275
1.086413 11 288
1.089077 11 302
1.091826 11 313
1.094475 11 324
1.097171 11 332
1.100083 11 334
1.105428 11 289
1.108438 11 296
1.111225 11 307
1.114477 11 307
1.117383 12 314
1.120208 12 321
1.123714 12 313
1.126811 12 315
1.129788 12 319
1.132826 12 321
1.135515 12 330
1.138406 12 333
1.141571 12 329
1.14538 12 313
1.148646 12 312
1.151636 12 316
1.155456 12 303
1.158342 12 311
1.161542 12 311
1.165079 12 305
1.168172 12 308
1.171247 12 311
1.174449 12 311
1.177452 12 315
1.180634 12 315
1.184318 12 305
1.187226 12 312
1.190258 12 315
1.193109 12 322
1.19595 12 327
1.198744 12 333
1.201675 12 334
1.205391 12 319
1.208248 12 325
1.21116 12 328
1.213963 12 333
1.219056 12 292
1.222302 13 295
1.227579 13 265
1.231912 13 258
1.234765 13 272
1.237676 13 284
1.240414 13 297
1.243823 13 296
1.246491 13 309
1.249157 13 320
1.252657 13 313
1.255507 13 319
1.258157 13 329
1.261421 13 324
1.264594 13 322
1.267435 13 328
1.270126 13 336
1.272918 13 340
1.276017 13 336
1.278785 13 341
1.28199 13 335
1.285478 13 324
1.288121 13 333
1.290783 13 341
1.293761 13 340
1.296419 13 346
1.299093 13 351
1.301869 13 353
1.305004 13 346
1.307908 13 345
1.311358 13 332
1.314679 13 326
1.317445 13 332
1.32034 13 335
1.323925 14 322
1.326805 14 326
1.329925 14 325
1.332859 14 328
1.335959 14 327
1.338693 14 334
1.34152 14 338
1.344934 14 327
1.347649 14 335
1.350524 14 337
1.353609 14 334
1.356969 14 326
1.360077 14 325
1.364114 14 306
1.367432 14 305
1.370419 14 310
1.373658 14 310
1.378523 14 281
1.38297 14 268
1.386388 14 272
1.389373 14 283
1.392491 14 290
1.395157 14 303
1.397842 14 315
1.400997 14 315
1.404281 14 313
1.407137 14 320
1.410013 14 325
1.412925 14 328
1.416069 14 326
1.420972 14 291
1.424862 15 283
1.431652 15 239
1.434386 15 257
1.437218 15 272
1.440039 15 285
1.443338 15 288
1.445894 15 304
1.448807 15 311
1.451863 15 314
1.455094 15 313
1.457954 15 320
1.461128 15 319
1.465044 15 303
1.468565 15 299
1.471567 15 305
1.474565 15 311
1.477723 15 312
1.481045 15 309
1.484679 15 302
1.487434 15 312
1.490236 15 320
1.493036 15 327
1.495863 15 332
1.498873 15 332
1.501971 15 330
1.505522 15 319
1.508682 15 318
1.511404 15 327
1.514255 15 331
1.517031 15 337
1.52028 15 330
1.524004 15 316
1.528889 16 285
1.533937 16 262
1.536891 16 274
1.539709 16 287
1.54277 16 294
1.546486 16 289
1.54994 16 289
1.553152 16 293
1.556144 16 300
1.559025 16 308
1.561794 16 318
1.565133 16 314
1.567944 16 321
1.570843 16 326
1.573779 16 328
1.576775 16 329
1.58061 16 313
1.584497 16 300
1.587627 16 303
1.590824 16 305
1.593964 16 308
1.597376 16 304
1.600573 16 306
1.60396 16 304
1.606987 16 309
1.610374 16 306
1.613269 16 313
1.616207 16 318
1.621127 16 285
1.624481 16 288
1.627848 17 290
1.630883 17 297
1.634055 17 300
1.637022 17 307
1.640347 17 305
1.64429 17 293
1.646995 17 306
1.649807 17 315
1.653035 17 314
1.655879 17 320
1.659308 17 314
1.662241 17 319
1.665936 17 308
1.668684 17 318
1.671927 17 316
1.675207 17 313
1.679751 17 289
1.684424 17 270
1.689097 17 256
1.693021 17 256
1.695759 17 272
1.698678 17 284
1.701939 17 288
1.705827 17 281
1.708668 17 293
1.711737 17 299
1.714432 17 311
1.717597 17 312
1.720559 17 317
1.723838 17 314
1.726653 17 321
1.729578 18 325
1.732461 18 329
1.735273 18 334
1.738283 18 334
1.74122 18 335
1.744874 18 320
1.747765 18 325
1.750651 18 329
1.753852 18 325
1.757421 18 315
1.760269 18 322
1.763627 18 317
1.766353 18 325
1.769448 18 325
1.772215 18 331
1.775121 18 334
1.778148 18 333
1.78112 18 334
1.784744 18 320
1.787449 18 329
1.790351 18 332
1.79351 18 329
1.79685 18 322
1.799905 18 323
1.803021 18 323
1.806543 18 314
1.809718 18 314
1.812752 18 317
1.816009 18 315
1.819217 18 314
1.824131 18 283
1.827627 18 284
1.832526 19 263
1.837075 19 253
1.840008 19 267
1.843483 19 271
1.846295 19 284
1.849087 19 296
1.851995 19 305
1.854798 19 314
1.85756 19 322
1.860616 19 323
1.86428 19 312
1.867425 19 313
1.870794 19 309
1.874119 19 307
1.8771 19 313
1.880517 19 308
1.884414 19 296
1.887446 19 302
1.890531 19 306
1.894051 19 301
1.897436 19 300
1.900573 19 304
1.903954 19 302
1.906823 19 310
1.91071 19 298
1.91381 19 302
1.916841 19 307
1.919972 19 310
1.923279 19 308
1.927266 19 294
1.930126 19 304
1.933014 20 312
1.935938 20 317
1.938739 20 324
1.941602 20 329
1.945006 20 321
1.94795 20 325
1.951005 20 325
1.953706 20 333
1.956684 20 334
1.959527 20 337
1.962335 20 340
1.965719 20 330
1.968504 20 336
1.971323 20 339
1.974335 20 338
1.977177 20 340
1.980122 20 340
1.985194 20 297
1.990089 20 272
1.99293 20 285
1.996011 20 292
1.998989 20 300
2.001682 20 312
2.005313 20 304
2.007995 20 315
2.010928 20 320
2.01364 20 329
2.016284 20 337
2.018892 20 346
2.021869 20 343
2.027246 20 294
2.030149 20 302
2.033142 21 308
2.036644 21 303
2.040169 21 299
2.043533 21 299
2.046708 21 302
2.049553 21 310
2.052819 21 309
2.055955 21 311
2.059101 21 312
2.06232 21 312
2.066424 21 295
2.069577 21 299
2.072742 21 302
2.076012 21 303
2.079125 21 306
2.082583 21 303
2.086285 21 295
2.089453 21 299
2.092441 21 306
2.09551 21 309
2.098447 21 315
2.101798 21 311
2.105528 21 302
2.108847 21 301
2.111853 21 307
2.115117 21 307
2.1179 21 316
2.121107 21 315
2.124705 21 307
2.127886 21 308
2.131086 21 309
2.136077 22 279
2.140624 22 264
2.144183 22 267
2.147425 22 275
2.157301 22 204
2.160435 22 220
2.164648 22 223
2.167979 22 235
2.170929 22 251
2.174191 22 260
2.177085 22 273
2.180219 22 281
2.183611 22 284
2.186769 22 290
2.190188 22 290
2.193361 22 295
2.196345 22 302
