t n fps
0 1 0
0.02 1 50
0.0388168 1 53
0.0445754 1 86
0.0477034 1 123
0.0509142 1 155
0.0540017 1 183
0.056476 1 215
0.0592637 1 239
0.0624676 1 253
0.0657418 1 264
0.068178 1 287
0.0704123 1 311
0.0729293 1 326
0.0756408 1 334
0.0783844 1 340
0.0819931 1 325
0.0863367 1 299
0.0900765 1 292
0.0932642 1 296
0.096109 1 306
0.0987612 1 318
0.1016689 1 323
0.1051209 2 315
0.107792 2 326
0.1105561 2 332
0.1132996 2 338
0.1158583 2 347
0.1182878 2 359
0.1209166 2 363
0.124497 2 342
0.1277834 2 334
0.1310875 2 327
0.1342234 2 325
0.1372719 2 326
0.141302 2 306
0.1449955 2 298
0.1480534 2 304
0.1515023 2 301
0.1545372 2 306
0.1572563 2 316
0.16024 2 320
0.1650288 2 289
0.1690436 2 280
0.171521 2 298
0.1740929 2 313
0.1766842 2 325
0.1790296 2 341
0.1816881 2 348
0.1846987 2 344
0.1871321 2 356
0.1896003 2 365
0.1920052 2 374
0.1945056 2 379
0.1970291 2 382
0.1994813 2 387
0.2019313 2 391
0.2051072 3 373
0.2075575 3 379
0.2106079 3 368
0.2203429 3 242
0.224458 3 242
0.2284975 3 243
0.2322447 3 247
0.2352716 3 261
0.2381934 3 274
0.2409835 3 287
0.2446109 3 285
0.248222 3 283
0.2515264 3 287
0.2547555 3 291
0.2578649 3 296
0.2618735 3 286
0.2655023 3 283
0.2686223 3 290
0.271277 3 304
0.2741559 3 312
0.2770023 3 319
0.2800939 3 320
0.283346 3 317
0.2862775 3 321
0.2891451 3 326
0.2920733 3 329
0.2947624 3 337
0.2974391 3 344
0.300308 3 344
0.3031069 3 347
0.306123 4 344
0.3087498 4 350
0.3114268 4 355
0.315631 4 323
0.3195839 4 306
0.3221568 4 319
0.3253638 4 318
0.3278835 4 331
0.3304531 4 341
0.3330574 4 349
0.3358017 4 352
0.3382865 4 361
0.3412241 4 356
0.3442779 4 350
0.3471005 4 351
0.3498239 4 354
0.3525355 4 357
0.3552702 4 358
0.3576968 4 368
0.3603793 4 369
0.3635778 4 356
0.3660565 4 364
0.3693552 4 350
0.3727708 4 337
0.3758493 4 334
0.3786426 4 339
0.3813994 4 343
0.3846626 4 335
0.3873349 4 342
0.3902042 4 343
0.3927091 4 353
0.3962619 4 336
0.4001265 4 317
0.4041819 4 300
0.4071452 5 306
0.4096164 5 322
0.4122543 5 332
0.4169096 5 299
0.4194711 5 314
0.4225568 5 316
0.425959 5 311
0.4288286 5 318
0.4317157 5 323
0.4349938 5 319
0.437537 5 332
0.4405202 5 332
0.4438772 5 325
0.446567 5 333
0.4495188 5 334
0.452563 5 333
0.4552218 5 341
0.4581358 5 341
0.4609092 5 345
0.4647286 5 324
0.469132 5 298
0.4732308 5 285
0.4758498 5 301
0.4783928 5 315
0.4813265 5 320
0.4844564 5 320
0.4869886 5 332
0.4897776 5 337
0.4927096 5 338
0.4952469 5 348
0.4980234 5 350
0.5007765 5 353
0.504015 5 343
0.5068065 5 346
0.5095697 6 349
0.5122301 6 354
0.5149241 6 357
0.5175019 6 363
0.5203416 6 360
0.5237071 6 346
0.5264459 6 349
0.5291055 6 354
0.5318911 6 355
0.5346617 6 356
0.5373188 6 360
0.5402096 6 357
0.5434561 6 346
0.5465078 6 342
0.5497233 6 335
0.5523855 6 342
0.5549582 6 351
0.5577117 6 353
0.5603797 6 357
0.5636485 6 345
0.5661595 6 355
0.5687529 6 360
0.5713128 6 366
0.5738739 6 371
0.5769019 6 362
0.5794345 6 368
0.5823424 6 363
0.585436 6 354
0.5880636 6 359
0.5912575 6 348
0.5939202 6 354
0.5966995 6 355
0.60089 6 323
0.6037482 6 328
0.606277 6 340
0.6087894 6 350
0.6115358 7 352
0.6185434 7 272
0.6262338 7 223
0.6316207 7 214
0.6344483 7 233
0.6376041 7 246
0.6404574 7 261
0.6438646 7 267
0.6467271 7 280
0.6495098 7 293
0.6535735 7 282
0.6568551 7 286
0.6599939 7 292
0.6628238 7 303
0.6661304 7 302
0.6690051 7 310
0.6717146 7 321
0.6746045 7 325
0.6775228 7 329
0.6804528 7 331
0.6841709 7 316
0.6874037 7 315
0.6900368 7 326
0.6927827 7 333
0.6953789 7 342
0.6988458 7 330
0.701574 7 336
0.7048701 7 329
0.707309 7 343
0.7101773 7 344
0.7137557 8 328
0.7165476 8 334
0.7193564 8 338
0.72227 8 339
0.7255659 8 331
0.7282199 8 339
0.7309216 8 345
0.7338213 8 345
0.7365903 8 348
0.7397662 8 341
0.742863 8 337
0.7465433 8 321
0.7493588 8 327
0.7528886 8 317
0.7564196 8 310
0.7592068 8 318
0.7627678 8 310
0.7662362 8 305
0.7690377 8 314
0.7735199 8 290
0.7784501 8 267
0.7812257 8 282
0.7846753 8 283
0.7873309 8 298
0.7906752 8 298
0.7941575 8 296
0.7971305 8 303
0.8002116 8 307
0.8040301 8 297
0.8070166 8 303
0.8107117 8 296
0.814669 9 286
0.8179924 9 289
0.8208475 9 299
0.8267063 9 260
0.829882 9 269
0.8326604 9 283
0.8353911 9 297
0.8380251 9 310
0.8405166 9 325
0.8436865 9 323
0.846404 9 331
0.8491253 9 338
0.8517611 9 345
0.8543395 9 353
0.8572364 9 351
0.8602608 9 347
0.8643681 9 319
0.8683857 9 302
0.871694 9 302
0.8744997 9 312
0.8771829 9 322
0.8797953 9 333
0.8825681 9 338
0.8859455 9 328
0.8889599 9 329
0.8919211 9 331
0.8946756 9 336
0.8975367 9 339
0.9003692 9 342
0.903859 9 329
0.9067583 9 332
0.9096108 9 335
0.9122866 9 342
0.9152112 10 342
0.917794 10 350
0.9208904 10 344
0.9253632 10 311
0.9300033 10 285
0.9327665 10 298
0.9354176 10 311
0.9381858 10 320
0.9409522 10 327
0.9440657 10 326
0.9466636 10 336
0.9497864 10 333
0.9526665 10 335
0.9554773 10 339
0.958126 10 346
0.9605142 10 358
0.9638383 10 345
0.96706 10 337
0.9700007 10 338
0.9727497 10 343
0.9756346 10 343
0.9781869 10 352
0.9809304 10 354
0.9838848 10 351
0.9864362 10 358
0.9892192 10 358
0.9917689 10 365
0.994268 10 371
0.9972136 10 364
1.000116 10 360
1.003199 10 352
1.005854 10 357
1.008294 10 366
1.010844 10 371
1.01342 10 374
1.016105 11 374
1.018771 11 374
1.021285 11 378
1.026664 11 313
1.029781 11 315
1.032137 11 332
1.034573 11 345
1.037006 11 356
1.039354 11 368
1.041788 11 376
1.044553 11 373
1.046984 11 380
1.049374 11 387
1.051762 11 393
1.054322 11 392
1.056932 11 390
1.059775 11 382
1.062334 11 383
1.065459 11 369
1.068122 11 370
1.070946 11 367
1.075063 11 333
1.07872 11 319
1.081406 11 328
1.084291 11 331
1.086788 11 343
1.089743 11 342
1.092816 11 339
1.095601 11 342
1.098298 11 348
1.101145 11 348
1.10443 11 338
1.107232 11 342
1.110093 11 343
1.113105 11 341
1.116379 11 333
1.119933 12 321
1.123871 12 305
1.127673 12 295
1.130673 12 302
1.133704 12 307
1.136784 12 310
1.139603 12 318
1.14286 12 316
1.146343 12 310
1.149155 12 318
1.152578 12 312
1.155851 12 311
1.15857 12 321
1.161358 12 327
1.164524 12 325
1.167634 12 324
1.172111 12 297
1.175452 12 297
1.178397 12 305
1.181669 12 305
1.18509 12 302
1.187954 12 311
1.190809 12 318
1.193855 12 320
1.197027 12 319
1.200151 12 319
1.203744 12 310
1.206495 12 319
1.210382 12 304
1.214774 12 285
1.219908 12 261
1.224315 13 253
1.234169 13 195
1.239346 13 194
1.242494 13 211
1.246783 13 215
1.249226 13 237
1.25171 13 258
1.25414 13 279
1.256912 13 292
1.260042 13 297
1.263931 13 288
1.267077 13 294
1.269746 13 307
1.272557 13 315
1.27536 13 323
1.278083 13 331
1.280649 13 341
1.286528 13 284
1.28906 13 301
1.291656 13 314
1.294341 13 324
1.296832 13 337
1.299384 13 347
1.301818 13 358
1.313308 13 220
1.315699 13 243
1.318169 13 264
1.320924 13 279
1.324776 14 275
1.327017 14 298
1.32942 14 316
1.331731 14 334
1.334117 14 348
1.336741 14 354
1.339396 14 358
1.341929 14 365
1.346127 14 330
1.348699 14 340
1.351299 14 348
1.353922 14 354
1.356362 14 364
1.359349 14 358
1.36183 14 366
1.365853 14 334
1.368681 14 338
1.371196 14 348
1.37368 14 358
1.37636 14 361
1.380627 14 325
1.386567 14 274
1.389033 14 293
1.39146 14 311
1.394092 14 323
1.396891 14 329
1.399471 14 339
1.401995 14 349
1.407809 14 289
1.410161 14 309
1.412351 14 330
1.41465 14 347
1.417415 14 350
1.419855 14 360
1.422171 14 372
1.426559 15 330
1.431358 15 296
1.433714 15 315
1.436062 15 332
1.438495 15 345
1.44084 15 359
1.444917 15 328
1.447175 15 346
1.449453 15 361
1.451701 15 375
1.453792 15 392
1.455948 15 405
1.458048 15 417
1.460168 15 427
1.464494 15 365
1.466645 15 381
1.468744 15 397
1.470887 15 409
1.473132 15 416
1.475472 15 418
1.477867 15 418
1.480274 15 417
1.484119 15 372
1.486451 15 382
1.488708 15 393
1.49101 15 400
1.49366 15 395
1.496985 15 372
1.49992 15 365
1.502582 15 367
1.508032 15 306
1.511379 15 304
1.514488 15 307
1.517023 15 322
1.519548 15 334
1.522045 15 345
1.527364 15 296
1.532242 16 271
1.536152 16 268
1.538682 16 286
1.541559 16 297
1.546712 16 268
1.549162 16 288
1.551634 16 305
1.554149 16 320
1.556949 16 327
1.559799 16 331
1.562765 16 332
1.572687 16 227
1.576951 16 229
1.581064 16 231
1.589313 16 196
1.593341 16 204
1.596702 16 218
1.59994 16 231
1.603202 16 243
1.611218 16 204
1.614447 16 219
1.617694 16 232
1.620916 16 245
1.630759 16 191
1.636714 17 186
1.640217 17 199
1.647452 17 183
1.651332 17 194
1.654337 17 212
1.657082 17 231
1.660436 17 242
1.666987 17 216
1.670172 17 231
1.673307 17 244
1.676148 17 260
1.679091 17 273
1.683921 17 256
1.69277 17 204
1.69622 17 217
1.700326 17 222
1.708128 17 193
1.711073 17 212
1.714104 17 228
1.717056 17 244
1.719692 17 262
1.722693 17 274
1.729964 17 228
1.732804 17 246
1.735564 18 263
1.738309 18 278
1.740981 18 293
1.747889 18 243
1.750788 18 258
1.753483 18 275
1.756551 18 284
1.759297 18 297
1.762148 18 306
1.768675 18 255
1.771094 18 276
1.773549 18 295
1.776815 18 297
1.779716 18 305
1.782299 18 319
1.791709 18 227
1.794505 18 245
1.797299 18 262
1.800239 18 274
1.807167 18 232
1.810165 18 247
1.812828 18 265
1.815557 18 281
1.818287 18 294
1.821033 18 306
1.82844 18 244
1.831486 18 257
1.839407 18 213
1.845283 19 202
1.853086 19 181
1.85618 19 199
1.859208 19 216
1.86157 19 239
1.869491 19 203
1.872122 19 224
1.874505 19 247
1.876881 19 269
1.879317 19 289
1.882278 19 297
1.889554 19 241
1.893564 19 243
1.896027 19 264
1.898617 19 282
1.90136 19 295
1.909381 19 231
1.911911 19 252
1.914595 19 270
1.917567 19 281
1.920171 19 297
1.928015 19 234
1.931124 19 248
1.933957 19 263
1.936432 19 283
1.938882 19 301
1.941693 19 311
1.949475 20 242
1.951845 20 264
1.954501 20 281
1.956818 20 302
1.959214 20 320
1.961832 20 330
1.970258 20 243
1.972707 20 265
1.974998 20 287
1.977668 20 301
1.980785 20 305
1.990395 20 220
1.995474 20 215
1.999471 20 221
2.001733 20 245
2.009192 20 210
2.011566 20 234
2.014015 20 255
2.016277 20 279
2.01854 20 301
2.020985 20 318
2.028702 20 246
2.031282 20 265
2.035739 20 256
2.038309 20 275
2.04066 20 296
2.048517 20 234
2.051018 21 255
2.053257 21 279
2.055533 21 301
2.057966 21 318
2.060917 21 322
2.070259 21 229
2.07473 21 228
2.077466 21 247
2.079891 21 268
2.082253 21 289
2.09061 21 225
2.093396 21 243
2.095968 21 263
2.098689 21 279
2.101693 21 288
2.110558 21 219
2.113039 21 241
2.11544 21 264
2.117803 21 285
2.120028 21 308
2.128727 21 230
2.131234 21 251
2.133769 21 271
2.136159 21 291
2.138778 21 306
2.141508 21 316
2.151747 21 218
2.155904 22 222
2.158426 22 244
2.161037 22 263
2.171986 22 191
2.174343 22 214
2.177027 22 234
2.179453 22 256
2.182025 22 275
2.190302 22 219
2.192828 22 240
2.195359 22 261
2.197985 22 278
2.200621 22 294
